No,ID,Word/Phrase,POS (Old),POS (New),English Meaning (Old),English Meaning (New),Thai Meaning (Old),Thai Meaning (New),Status,Audit Notes / Reason
882,ox_crowd,crowd,noun,noun,A large number of people gathered together in a disorganized or unruly way,A large number of people gathered together in a disorganized or unruly way,ฝูงชน,ฝูงชน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
883,ox_crowded,crowded,adjective,adjective,Having a large number of people in a small area,Having a large number of people in a small area,แออัด,แออัด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
884,ox_crown,crown,noun,noun,"A circular ornamental headdress worn by a monarch as a symbol of authority, usually made of or decorated with precious metals and jewels","A circular ornamental headdress worn by a monarch as a symbol of authority, usually made of or decorated with precious metals and jewels",มงกุฎ,มงกุฎ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
885,ox_crucial,crucial,adjective,adjective,"Decisive or critical, especially in the success or failure of something","Decisive or critical, especially in the success or failure of something",สำคัญ,สำคัญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
886,ox_cruel,cruel,adjective,adjective,"Wilfully causing pain or suffering to others, or feeling no concern about it","Wilfully causing pain or suffering to others, or feeling no concern about it",โหดร้าย,โหดร้าย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
887,ox_crush,crush,verb,verb,"Deform, pulverize, or force inwards by compressing forcefully","Deform, pulverize, or force inwards by compressing forcefully",บดขยี้,บดขยี้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
888,ox_cry,cry,verb,verb,"Shed tears, typically as an expression of distress, pain, or sorrow","Shed tears, typically as an expression of distress, pain, or sorrow",ร้องไห้,ร้องไห้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
889,ox_cry_out,cry out,noun,phrasal verb,"Shout or scream, especially to express strong emotion or pain","to shout or scream loudly because of pain, fear, or surprise",ส่งเสียงร้องตะโกน (ด้วยความเจ็บปวดหรือตกใจ),ร้องตะโกน (ด้วยความเจ็บปวด/ตกใจ),MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
890,ox_cultural,cultural,adjective,adjective,"Relating to the ideas, customs, and social behavior of a society","Relating to the ideas, customs, and social behavior of a society",ทางวัฒนธรรม,ทางวัฒนธรรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
891,ox_culture,culture,noun,noun,The arts and other manifestations of human intellectual achievement regarded collectively,The arts and other manifestations of human intellectual achievement regarded collectively,วัฒนธรรม,วัฒนธรรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
892,ox_cup,cup,noun,noun,"A small bowl-shaped container for drinking from, typically having a handle","A small bowl-shaped container for drinking from, typically having a handle",ถ้วย,ถ้วย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
893,ox_cupboard,cupboard,noun,noun,"A cabinet or small recess with a door and typically shelves, used for storage","A cabinet or small recess with a door and typically shelves, used for storage",ตู้,ตู้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
894,ox_curb,curb,verb,verb,to control or limit something,to control or limit something,ควบคุม / ชะลอ / ขอบทางเท้า,ควบคุม / ชะลอ / ขอบทางเท้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
895,ox_cure,cure,verb,verb,Relieve (a person or animal) of the symptoms of a disease or condition,Relieve (a person or animal) of the symptoms of a disease or condition,รักษา,รักษา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
896,ox_curious,curious,adjective,adjective,Eager to know or learn something,Eager to know or learn something,อยากรู้,อยากรู้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
897,ox_curiously,curiously,adverb,adverb,In a manner showing eager interest or wanting to know,In a manner showing eager interest or wanting to know,อยากรู้อยากเห็น,อยากรู้อยากเห็น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
898,ox_curl,curl,verb,verb,Form or cause to form into a curved or spiral shape,"to form or cause to form into a curved, coiled, or spiral shape",ขด,"ม้วน, ขด, ดัดลอน (ผม)",MODIFIED,"ขยายคำแปลไทยจาก ""ขด"" เป็น ""ม้วน, ขด, ดัดลอน"""
899,ox_curl_up,curl up,noun,phrasal verb,Sit or lie with the knees drawn up,to sit or lie with the knees pulled up close to the chest; to roll into a ball,ขดตัว,"นอนขดตัว, ม้วนงอ",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
900,ox_curly,curly,adjective,adjective,"Having a twisted, ring, or spiral shape","Having a twisted, ring, or spiral shape",หยิกงอ,หยิกงอ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
901,ox_current,current,adjective,adjective,Belonging to the present time; happening or being used or done now,Belonging to the present time; happening or being used or done now,ปัจจุบัน,ปัจจุบัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
902,ox_currently,currently,adverb,adverb,At the present time,At the present time,ตอนนี้,ตอนนี้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
903,ox_curtain,curtain,noun,noun,"A piece of material suspended at the top to form a screen, typically movable sideways along a rail and found as one of a pair at a window","A piece of material suspended at the top to form a screen, typically movable sideways along a rail and found as one of a pair at a window",ม่าน,ม่าน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
904,ox_curve,curve,noun,noun,A line or outline which gradually deviates from being straight for some or all of its length,A line or outline which gradually deviates from being straight for some or all of its length,เส้นโค้ง,เส้นโค้ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
905,ox_curved,curved,adjective,adjective,Having a round or smoothly bending shape,Having a round or smoothly bending shape,โค้ง,โค้ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
906,ox_custom,custom,noun,noun,"A traditional and widely accepted way of behaving or doing something that is specific to a particular society, place, or time","A traditional and widely accepted way of behaving or doing something that is specific to a particular society, place, or time",กำหนดเอง,กำหนดเอง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
907,ox_customer,customer,noun,noun,A person who buys goods or services from a shop or business,A person who buys goods or services from a shop or business,ลูกค้า,ลูกค้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
908,ox_customs,customs,noun,noun,The official department that administers and collects the duties levied by a government on imported goods,The official department that administers and collects the duties levied by a government on imported goods,ศุลกากร,ศุลกากร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
909,ox_cut,cut,verb,verb,"Make an opening, incision, or wound in (something) with a sharp-edged tool or object","Make an opening, incision, or wound in (something) with a sharp-edged tool or object",ตัด,ตัด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
910,ox_cut_back,cut back,noun,phrasal verb,Reduce the amount or quantity of,"to reduce the amount, size, or number of something, especially expenditure",ลดทอนลง (งบประมาณ/การใช้จ่าย),"ลดทอน (ค่าใช้จ่าย/งบประมาณ), ตัดทอนลง",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
911,ox_cut_down,cut down,noun,phrasal verb,Cause to fall by cutting,to reduce the amount or consumption of something; to fell a tree,ลดปริมาณลง / โค่นต้นไม้,"ลดปริมาณลง (อาหาร/การใช้), โค่นต้นไม้",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
912,ox_cut_off,cut off,noun,phrasal verb,Remove something by or as if by cutting,to disconnect or stop the supply of water/electricity; to isolate,ตัดขาด (ไฟฟ้า/น้ำ/การติดต่อ),"ตัดขาด (น้ำ/ไฟ/สัญญาณ), ตัดบทสนทนา, โดดเดี่ยว",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
913,ox_cut_out,cut out,noun,phrasal verb,"Remove, exclude, or stop doing something",to remove by cutting; to stop doing or eating something,ตัดออก / เลิกกินหรือเลิกทำ,"ตัดออก, งดกิน/เลิกทำสิ่งที่ไม่ดี",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
914,ox_cut_up,cut up,noun,phrasal verb,Cut something into smaller pieces,to cut something into smaller pieces with a knife or scissors,หั่นเป็นชิ้นเล็กๆ,หั่น/ตัดเป็นชิ้นเล็กๆ,MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
915,ox_cycle,cycle,noun,noun,A series of events that are regularly repeated in the same order,A series of events that are regularly repeated in the same order,วงจร,วงจร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
916,ox_cycling,cycling,noun,noun,A series of events that are regularly repeated in the same order,A series of events that are regularly repeated in the same order,การปั่นจักรยาน,การปั่นจักรยาน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
917,ox_dad,dad,noun,noun,"a person’s father, used informally","a person’s father, used informally",พ่อ,พ่อ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
918,ox_daily,daily,adjective,adjective,"Happening, done, or produced every day","Happening, done, or produced every day",รายวัน,รายวัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
919,ox_damage,damage,noun,noun,"Physical harm that impairs the value, usefulness, or normal function of something","Physical harm that impairs the value, usefulness, or normal function of something",ความเสียหาย,ความเสียหาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
920,ox_damp,damp,adjective,adjective,Slightly wet,Slightly wet,ชื้น,ชื้น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
921,ox_dance,dance,verb,verb,"Move rhythmically to music, typically following a set sequence of steps","Move rhythmically to music, typically following a set sequence of steps",เต้นรำ,เต้นรำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
922,ox_dancer,dancer,noun,noun,A person who dances or whose profession is dancing,A person who dances or whose profession is dancing,นักเต้น,นักเต้น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
923,ox_dancing,dancing,noun,noun,The activity of dancing for pleasure or as a profession,The activity of dancing for pleasure or as a profession,การเต้นรำ,การเต้นรำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
924,ox_danger,danger,noun,noun,The possibility of suffering harm or injury,The possibility of suffering harm or injury,อันตราย,อันตราย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
925,ox_dangerous,dangerous,adjective,adjective,Able or likely to cause harm or injury,Able or likely to cause harm or injury,อันตราย,อันตราย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
926,ox_dare,dare,verb,verb,Have the courage to do something,Have the courage to do something,กล้า,กล้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
927,ox_dark,dark,adjective,adjective,With little or no light,With little or no light,มืด,มืด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
928,ox_data,data,noun,noun,Facts and statistics collected together for reference or analysis,Facts and statistics collected together for reference or analysis,ข้อมูล,ข้อมูล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
929,ox_date,date,noun,noun,The day of the month or year as specified by a number,The day of the month or year as specified by a number,วันที่,วันที่,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
930,ox_date_back,date back,noun,phrasal verb,Exist since a particular time in the past,to have existed since a particular time in the past,มีอายุย้อนหลังไปถึง,"มีอายุย้อนไปถึง, สืบย้อนไปตั้งแต่",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
931,ox_daughter,daughter,noun,noun,A female child in relation to her parents,A female child in relation to her parents,ลูกสาว,ลูกสาว,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
932,ox_day,day,noun,noun,A period of 24 hours as a unit of time,A period of 24 hours as a unit of time,วัน,วัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
933,ox_dead,dead,adjective,adjective,No longer alive,No longer alive,ตาย,ตาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
934,ox_deaf,deaf,adjective,adjective,Lacking the power of hearing or having impaired hearing,Lacking the power of hearing or having impaired hearing,หูหนวก,หูหนวก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
935,ox_deal,deal,verb,verb,Distribute (cards) in an orderly rotation to the players for a game or round,Distribute (cards) in an orderly rotation to the players for a game or round,ข้อเสนอ,ข้อเสนอ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
936,ox_deal_in,deal in,noun,phrasal verb,Buy and sell (a particular product),to buy and sell a particular product or commodity,ค้าขาย (สินค้าเฉพาะอย่าง),ค้าขาย (สินค้าเฉพาะอย่าง),MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
937,ox_deal_with,deal with,noun,phrasal verb,"Take measures concerning (someone or something), especially with the intention of putting something right",to take action to solve a problem or handle a situation,จัดการ / รับมือกับ,"จัดการกับ, รับมือกับ, ติดต่อประสานงาน",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
938,ox_dear,dear,adjective,adjective,Regarded with deep affection,Regarded with deep affection,ที่รัก,ที่รัก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
939,ox_death,death,noun,noun,The end of the life of a person or organism,The end of the life of a person or organism,ความตาย,ความตาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
940,ox_debt,debt,noun,noun,"Something, typically money, that is owed or due","Something, typically money, that is owed or due",หนี้,หนี้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
941,ox_decade,decade,noun,noun,A period of ten years,A period of ten years,ทศวรรษ,ทศวรรษ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
942,ox_decay,decay,noun,noun,The state or process of rotting or decomposition,The state or process of rotting or decomposition,การสลายตัว,การสลายตัว,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
943,ox_December,December,noun,noun,The twelfth month of the year,The twelfth month of the year,ธันวาคม,ธันวาคม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
944,ox_decide,decide,verb,verb,Come to a resolution in the mind as a result of consideration,Come to a resolution in the mind as a result of consideration,ตัดสินใจ,ตัดสินใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
945,ox_decide_on,decide on,noun,phrasal verb,Choose from a number of alternatives,to choose someone or something after thinking carefully,ตัดสินใจเลือก,ตัดสินใจเลือก,MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
946,ox_decision,decision,noun,noun,A conclusion or resolution reached after consideration,A conclusion or resolution reached after consideration,การตัดสินใจ,การตัดสินใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
947,ox_declare,declare,verb,verb,Say something in a solemn and emphatic manner,Say something in a solemn and emphatic manner,ประกาศ,ประกาศ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
948,ox_decline,decline,verb,verb,"Become smaller, fewer, or less; decrease","Become smaller, fewer, or less; decrease",ปฏิเสธ,ปฏิเสธ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
949,ox_decorate,decorate,verb,verb,Make (something) look more attractive by adding extra items or images to it,Make (something) look more attractive by adding extra items or images to it,ตกแต่ง,ตกแต่ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
950,ox_decoration,decoration,noun,noun,The process or art of decorating or adorning something,The process or art of decorating or adorning something,การตกแต่ง,การตกแต่ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
951,ox_decorative,decorative,adjective,adjective,Serving to make something look more attractive; ornamental,Serving to make something look more attractive; ornamental,ตกแต่ง,ตกแต่ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
952,ox_decrease,decrease,verb,verb,"Make or become smaller or fewer in size, amount, intensity, or degree",to become or make smaller or fewer in size or quantity,ลด,"ลดลง, ปรับลดลง",MODIFIED,"ขยายคำแปลไทยจาก ""ลด"" เป็น ""ลดลง, ปรับลดลง"""
953,ox_deep,deep,adjective,adjective,Extending far down from the top or surface,Extending far down from the top or surface,ลึก,ลึก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
954,ox_deeply,deeply,adverb,adverb,At or to a considerable extent downward,At or to a considerable extent downward,อย่างลึกซึ้ง / อย่างมาก,อย่างลึกซึ้ง / อย่างมาก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
955,ox_defeat,defeat,verb,verb,Win a victory over (someone) in a battle or other contest; overcome or beat,to win a victory over someone in a battle or contest,ความพ่ายแพ้,"เอาชนะ, ปราบ, ทำให้อีกฝ่ายพ่ายแพ้",MODIFIED,แก้ไขคำแปลไทยผิดพลาดจากคำนาม (ความพ่ายแพ้) ให้เป็นคำกริยา (เอาชนะ)
956,ox_defence,defence,noun,noun,The action of defending from or resisting attack,The action of defending from or resisting attack,การป้องกัน,การป้องกัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
957,ox_defend,defend,verb,verb,Resist an attack made on (someone or something); protect from harm or danger,Resist an attack made on (someone or something); protect from harm or danger,ปกป้อง,ปกป้อง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
958,ox_define,define,verb,verb,"State or describe exactly the nature, scope, or meaning of","State or describe exactly the nature, scope, or meaning of",กำหนด,กำหนด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
959,ox_definite,definite,adjective,adjective,Clearly stated or decided; not vague or doubtful,Clearly stated or decided; not vague or doubtful,แน่นอน,แน่นอน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
960,ox_definitely,definitely,adverb,adverb,Without doubt (used for emphasis),Without doubt (used for emphasis),อย่างแน่นอน,อย่างแน่นอน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
961,ox_definition,definition,noun,noun,"A statement of the exact meaning of a word, especially in a dictionary","A statement of the exact meaning of a word, especially in a dictionary",คำนิยาม,คำนิยาม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
962,ox_degree,degree,noun,noun,"The amount, level, or extent to which something happens or is present","The amount, level, or extent to which something happens or is present",ระดับ,ระดับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
963,ox_delay,delay,verb,verb,Make (someone or something) late or slow,Make (someone or something) late or slow,ล่าช้า,ล่าช้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
964,ox_deliberate,deliberate,adjective,adjective,Done consciously and intentionally,Done consciously and intentionally,โดยเจตนา,โดยเจตนา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
965,ox_deliberately,deliberately,adverb,adverb,In a careful and unhurried way,In a careful and unhurried way,จงใจ,จงใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
966,ox_delicate,delicate,adjective,adjective,Very fine in texture or structure; of intricate workmanship or quality,Very fine in texture or structure; of intricate workmanship or quality,ละเอียดอ่อน,ละเอียดอ่อน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
967,ox_delight,delight,noun,noun,Great pleasure,Great pleasure,ความสุข,ความสุข,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
968,ox_delighted,delighted,adjective,adjective,Feeling or showing great pleasure,Feeling or showing great pleasure,ดีใจ,ดีใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
969,ox_deliver,deliver,verb,verb,"Bring and hand over (a letter, parcel, or goods) to the proper recipient or address","Bring and hand over (a letter, parcel, or goods) to the proper recipient or address",ส่งมอบ,ส่งมอบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
970,ox_delivery,delivery,noun,noun,"The action of delivering letters, parcels, or goods","The action of delivering letters, parcels, or goods",จัดส่ง,จัดส่ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
971,ox_demand,demand,noun,noun,"An insistent and peremptory request, made as if by right","An insistent and peremptory request, made as if by right",ความต้องการ,ความต้องการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
972,ox_dentist,dentist,noun,noun,A person qualified to treat the diseases and conditions that affect the teeth and gums,A person qualified to treat the diseases and conditions that affect the teeth and gums,ทันตแพทย์,ทันตแพทย์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
973,ox_deny,deny,verb,verb,State that one refuses to admit the truth or existence of,State that one refuses to admit the truth or existence of,ปฏิเสธ,ปฏิเสธ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
974,ox_department,department,noun,noun,"A division of a large organization such as a government, university, business, or shop, dealing with a specific area of activity","A division of a large organization such as a government, university, business, or shop, dealing with a specific area of activity",แผนก,แผนก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
975,ox_departure,departure,noun,noun,"The action of leaving, especially to start a journey","The action of leaving, especially to start a journey",การออกเดินทาง,การออกเดินทาง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
976,ox_depend,depend,verb,verb,Be controlled or determined by,Be controlled or determined by,ขึ้นอยู่กับ,ขึ้นอยู่กับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
977,ox_depend_on,depend on,noun,phrasal verb,Be able to trust; rely on,to be determined or affected by; to rely on or trust someone,ขึ้นอยู่กับ / พึ่งพา,"ขึ้นอยู่กับ, พึ่งพาอาศัย",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
978,ox_deposit,deposit,noun,noun,"A sum of money placed or kept in a bank account, usually to gain interest","A sum of money placed or kept in a bank account, usually to gain interest",เงินฝาก,เงินฝาก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
979,ox_depress,depress,verb,verb,Make (someone) feel utterly dispirited or dejected,Make (someone) feel utterly dispirited or dejected,ทำให้หดหู่ใจ / กดลง,ทำให้หดหู่ใจ / กดลง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
980,ox_depressed,depressed,adjective,adjective,In a state of general unhappiness or despondency,In a state of general unhappiness or despondency,หดหู่,หดหู่,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
981,ox_depressing,depressing,adjective,adjective,Causing a feeling of misery or despondency,Causing a feeling of misery or despondency,ตกต่ำ,ตกต่ำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
982,ox_depth,depth,noun,noun,The distance from the top or surface to the bottom of something,The distance from the top or surface to the bottom of something,ความลึก,ความลึก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
983,ox_derive_from,derive from,noun,phrasal verb,Obtain something from (a specified source),to originate from; to obtain something from a source,มีต้นกำเนิดมาจาก / ได้รับมาจาก,"มีต้นกำเนิดมาจาก, ได้รับมาจาก",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
984,ox_describe,describe,verb,verb,Give a detailed account in words of,Give a detailed account in words of,อธิบาย,อธิบาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
985,ox_description,description,noun,noun,"A spoken or written account of a person, object, or event","A spoken or written account of a person, object, or event",คำอธิบาย,คำอธิบาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
986,ox_desert,desert,verb,verb,"Abandon (a person, cause, or organization) in a way considered disloyal or treacherous","Abandon (a person, cause, or organization) in a way considered disloyal or treacherous",ทะเลทราย,ทะเลทราย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
987,ox_deserted,deserted,adjective,adjective,Empty of people,Empty of people,ร้าง,ร้าง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
988,ox_deserve,deserve,verb,verb,Do something or have or show qualities worthy of (reward or punishment),Do something or have or show qualities worthy of (reward or punishment),สมควรได้รับ,สมควรได้รับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
989,ox_design,design,noun,noun,"A plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made","A plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made",ออกแบบ,ออกแบบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
990,ox_desire,desire,noun,noun,A strong feeling of wanting to have something or wishing for something to happen,A strong feeling of wanting to have something or wishing for something to happen,ความต้องการ,ความต้องการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
991,ox_desk,desk,noun,noun,"A piece of furniture with a flat or sloped surface and typically with drawers, used for writing, reading, or working","A piece of furniture with a flat or sloped surface and typically with drawers, used for writing, reading, or working",โต๊ะ,โต๊ะ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
992,ox_desperate,desperate,adjective,adjective,Feeling or showing a hopeless sense that a situation is so bad as to be impossible to deal with,Feeling or showing a hopeless sense that a situation is so bad as to be impossible to deal with,หมดหวัง,หมดหวัง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
993,ox_desperately,desperately,adverb,adverb,In a way that shows despair,In a way that shows despair,หมดท่า,หมดท่า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
994,ox_despite,despite,preposition,preposition,Without being affected by; in spite of,Without being affected by; in spite of,ถึงอย่างไรก็ตาม,ถึงอย่างไรก็ตาม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
995,ox_destroy,destroy,verb,verb,Put an end to the existence of (something) by damaging or attacking it,Put an end to the existence of (something) by damaging or attacking it,ทำลาย,ทำลาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
996,ox_destruction,destruction,noun,noun,The action or process of causing so much damage to something that it no longer exists or cannot be repaired,The action or process of causing so much damage to something that it no longer exists or cannot be repaired,การทำลาย,การทำลาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
997,ox_detail,detail,noun,noun,"An individual feature, fact, or item","An individual feature, fact, or item",รายละเอียด,รายละเอียด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
998,ox_detailed,detailed,adjective,adjective,Having many details or facts; showing attention to detail,Having many details or facts; showing attention to detail,รายละเอียด,รายละเอียด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
999,ox_determination,determination,noun,noun,Firmness of purpose; resoluteness,Firmness of purpose; resoluteness,การกำหนด,การกำหนด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1000,ox_determine,determine,verb,verb,"Ascertain or establish exactly, typically as a result of research or calculation","Ascertain or establish exactly, typically as a result of research or calculation",กำหนด,กำหนด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1001,ox_determined,determined,adjective,adjective,Having made a firm decision and being resolved not to change it,Having made a firm decision and being resolved not to change it,มุ่งมั่น,มุ่งมั่น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1002,ox_develop,develop,verb,verb,"Grow or cause to grow and become more mature, advanced, or elaborate","Grow or cause to grow and become more mature, advanced, or elaborate",พัฒนา,พัฒนา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1003,ox_development,development,noun,noun,The process of developing or being developed,The process of developing or being developed,การพัฒนา,การพัฒนา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1004,ox_device,device,noun,noun,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment","A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment",อุปกรณ์,อุปกรณ์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1005,ox_devote,devote,verb,verb,"Give all or a large part of one's time or resources to (a person, activity, or cause)","Give all or a large part of one's time or resources to (a person, activity, or cause)",อุทิศ,อุทิศ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1006,ox_devoted,devoted,adjective,adjective,Very loving or loyal,Very loving or loyal,อุทิศ,อุทิศ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
